"year";"month";"day";"hour MEZ";"min";"dewpoint temperature (degree C)";"air temperature (degree C)";"relative humidity (%)";"global radiation (W m^(-2))";"wind speed (km/h)";"wind direction (degree)";"wind speed - gust (km/h)";"precipitation (10^(-1) mm)";"air pressure (hPa)"
2005;3;13;06;45;-1,8;1,0;81,7;38,1;24,9;-0,2;-6999;0,0;-6999;
2005;3;13;07;00;-1,9;1,0;81,2;76,6;26,3;-0,2;-6999;0,0;-6999;
2005;3;13;07;15;-1,9;1,0;81,2;70,0;24,6;-0,1;-6999;0,0;-6999;
2005;3;13;07;30;-1,8;1,0;81,5;69,3;23,8;-0,1;-6999;0,0;-6999;
2005;3;13;07;45;-1,8;1,2;80,5;179,9;21,9;-0,1;-6999;0,0;-6999;
2005;3;13;08;00;-1,7;1,2;80,8;71,3;22,8;-0,2;-6999;0,0;-6999;
2005;3;13;08;15;-1,7;1,2;80,9;81,6;23,1;-0,1;-6999;0,0;-6999;
2005;3;13;08;30;-1,7;1,4;79,9;155,7;21,1;-0,1;-6999;0,0;-6999;
2005;3;13;08;45;-1,7;1,7;77,9;328,5;25,5;-0,1;-6999;0,0;-6999;
2005;3;13;09;00;-1,6;2,2;76,1;436,4;22,0;-0,1;-6999;0,0;-6999;
2005;3;13;09;15;-1,7;2,5;73,9;487,6;20,9;-0,1;-6999;0,0;-6999;
2005;3;13;09;30;-1,6;2,9;72,2;520,0;19,9;-0,1;-6999;0,0;-6999;
2005;3;13;09;45;-1,6;2,9;72,0;548,8;23,0;-0,2;-6999;0,0;-6999;
2005;3;13;10;00;-1,5;2,9;72,6;581,8;21,8;-0,1;-6999;0,0;-6999;
2005;3;13;10;15;-1,5;2,9;73,0;619,6;25,3;-0,1;-6999;0,0;-6999;
2005;3;13;10;30;-1,3;3,1;73,1;636,8;21,3;-0,1;-6999;0,0;-6999;
2005;3;13;10;45;-1,2;3,2;72,7;656,4;23,3;-0,1;-6999;0,0;-6999;
2005;3;13;11;00;-1,1;3,6;71,2;671,9;19,3;-0,1;-6999;0,0;-6999;
2005;3;13;11;15;-1,3;3,6;70,3;682,7;20,1;-0,1;-6999;0,0;-6999;
2005;3;13;11;30;-1,3;3,5;70,8;699,3;24,7;-0,1;-6999;0,0;-6999;
2005;3;13;11;45;-1,2;3,8;70,0;706,0;22,4;-0,1;-6999;0,0;-6999;
2005;3;13;12;00;-1,2;3,7;70,1;715,0;24,8;-0,2;-6999;0,0;-6999;
2005;3;13;12;15;-1,2;3,8;69,9;731,0;23,6;-0,1;-6999;0,0;-6999;
2005;3;13;12;30;-1,1;4,0;69,3;714,0;21,4;-0,2;-6999;0,0;-6999;
2005;3;13;12;45;-1,1;4,2;68,4;686,7;19,6;-0,1;-6999;0,0;-6999;
2005;3;13;13;00;-1,4;3,9;68,4;641,4;25,1;-0,1;-6999;0,0;-6999;
2005;3;13;13;15;-1,3;4,2;67,3;756,0;22,6;-0,1;-6999;0,0;-6999;
2005;3;13;13;30;-1,3;4,3;67,0;686,4;22,0;-0,1;-6999;0,0;-6999;
2005;3;13;13;45;-1,4;4,4;65,9;725,0;21,5;-0,1;-6999;0,0;-6999;
2005;3;13;14;00;-1,5;4,5;65,2;660,5;24,1;-0,1;-6999;0,0;-6999;
2005;3;13;14;15;-1,5;4,7;64,0;596,0;21,9;-0,2;-6999;0,0;-6999;
2005;3;13;14;30;-1,8;5,0;61,5;546,9;18,8;-0,2;-6999;0,0;-6999;
2005;3;13;14;45;-2,2;5,1;59,3;536,9;20,9;-0,1;-6999;0,0;-6999;
2005;3;13;15;00;-2,6;5,1;57,7;508,8;21,6;-0,1;-6999;0,0;-6999;
2005;3;13;15;15;-2,5;5,3;57,3;467,3;20,4;-0,1;-6999;0,0;-6999;
2005;3;13;15;30;-2,8;5,5;55,2;424,4;22,3;-0,1;-6999;0,0;-6999;
2005;3;13;15;45;-3,0;5,5;54,1;381,3;22,5;-0,2;-6999;0,0;-6999;
2005;3;13;16;00;-3,2;5,5;53,6;338,8;22,9;-0,1;-6999;0,0;-6999;
2005;3;13;16;15;-3,3;5,4;53,3;296,8;21,7;-0,1;-6999;0,0;-6999;
2005;3;13;16;30;-3,3;5,4;53,3;247,0;24,3;-0,1;-6999;0,0;-6999;
2005;3;13;16;45;-3,5;5,3;53,1;200,2;20,4;-0,1;-6999;0,0;-6999;
2005;3;13;17;00;-3,5;5,2;53,5;152,2;22,7;-0,1;-6999;0,0;-6999;
2005;3;13;17;15;-3,4;5,0;54,5;102,1;17,3;-0,1;-6999;0,0;-6999;
2005;3;13;17;30;-3,2;4,9;55,6;65,2;15,1;-0,1;-6999;0,0;-6999;
2005;3;13;17;45;-3,1;4,7;56,8;28,1;11,3;-0,2;-6999;0,0;-6999;
2005;3;13;18;00;-3,3;4,4;57,4;6,7;10,8;-0,2;-6999;0,0;-6999;
2005;3;13;18;15;-3,4;4,4;57,1;1,5;12,1;-0,1;-6999;0,0;-6999;
2005;3;13;18;30;-3,6;4,3;56,5;0,2;10,3;-0,1;-6999;0,0;-6999;
2005;3;13;18;45;-3,7;4,2;56,5;0,1;7,6;-0,1;-6999;0,0;-6999;
2005;3;13;19;00;-3,8;4,1;56,3;0,2;9,6;-0,2;-6999;0,0;-6999;
2005;3;13;19;15;-3,8;3,9;57,2;0,1;9,7;-0,1;-6999;0,0;-6999;
2005;3;13;19;30;-3,6;3,6;59,3;0,1;9,2;-0,1;-6999;0,0;-6999;
2005;3;13;19;45;-3,5;3,6;59,8;0,1;9,8;-0,1;-6999;0,0;-6999;
