"year";"month";"day";"hour MEZ";"min";"dewpoint temperature (degree C)";"air temperature (degree C)";"relative humidity (%)";"global radiation (W m^(-2))";"wind speed (km/h)";"wind direction (degree)";"wind speed - gust (km/h)";"precipitation (10^(-1) mm)";"air pressure (hPa)"
2005;4;2;12;30;-3,5;11,9;33,9;765,0;12,5;134,2;-6999;0,0;1000,0
2005;4;2;12;45;-3,2;12,5;33,3;766,0;10,0;153,8;-6999;0,0;1000,0
2005;4;2;13;00;-3,7;12,5;32,2;766,0;9,7;167,3;-6999;0,0;1000,0
2005;4;2;13;15;-4,1;12,6;30,9;746,0;11,1;144,7;-6999;0,0;999,0
2005;4;2;13;30;-4,0;12,6;31,3;723,0;9,4;132,2;-6999;0,0;999,0
2005;4;2;13;45;-3,5;12,8;32,0;704,0;12,5;136,9;-6999;0,0;999,0
2005;4;2;14;00;-3,2;12,9;32,4;678,4;9,2;142,4;-6999;0,0;999,0
2005;4;2;14;15;-3,2;13,1;32,0;653,8;9,8;148,3;-6999;0,0;999,0
2005;4;2;14;30;-3,0;13,2;32,3;633,1;8,6;152,8;-6999;0,0;999,0
2005;4;2;14;45;-2,9;13,2;32,6;599,9;8,3;142,6;-6999;0,0;999,0
2005;4;2;15;00;-3,3;13,2;31,6;564,5;9,1;131,4;-6999;0,0;999,0
2005;4;2;15;15;-2,7;13,6;32,3;525,1;7,1;164,1;-6999;0,0;998,0
2005;4;2;15;30;-2,4;13,3;33,5;483,7;9,3;159,8;-6999;0,0;998,0
2005;4;2;15;45;-2,8;13,4;32,3;443,0;8,1;162,3;-6999;0,0;998,0
2005;4;2;16;00;-2,9;13,4;32,1;403,5;8,5;157,8;-6999;0,0;998,0
2005;4;2;16;15;-3,1;13,2;32,0;358,8;8,4;147,2;-6999;0,0;998,0
2005;4;2;16;30;-3,4;13,3;31,2;318,4;8,6;155,8;-6999;0,0;998,0
2005;4;2;16;45;-3,7;13,1;30,9;270,6;8,9;149,2;-6999;0,0;998,0
2005;4;2;17;00;-3,8;12,9;31,0;225,0;9,5;139,9;-6999;0,0;998,0
2005;4;2;17;15;-3,5;12,9;31,7;174,7;8,3;138,0;-6999;0,0;998,0
2005;4;2;17;30;-3,2;12,8;32,8;129,8;7,8;131,4;-6999;0,0;998,0
2005;4;2;17;45;-2,9;12,6;34,0;87,7;6,7;148,1;-6999;0,0;998,0
2005;4;2;18;00;-2,5;12,3;35,7;50,7;7,9;133,9;-6999;0,0;998,0
2005;4;2;18;15;-2,1;11,8;37,9;18,6;7,8;129,2;-6999;0,0;998,0
2005;4;2;18;30;-2,0;11,6;38,7;4,7;5,2;132,1;-6999;0,0;998,0
2005;4;2;18;45;-1,9;11,4;39,4;1,6;6,3;141,9;-6999;0,0;998,0
2005;4;2;19;00;-1,9;11,2;40,1;-0,3;7,7;141,9;-6999;0,0;998,0
2005;4;2;19;15;-1,7;11,0;41,0;-0,6;7,8;147,3;-6999;0,0;998,0
2005;4;2;19;30;-1,7;10,9;41,4;-0,7;5,7;148,1;-6999;0,0;998,0
2005;4;2;19;45;-1,7;10,7;41,9;-0,6;6,4;149,2;-6999;0,0;999,0
2005;4;2;20;00;-1,6;10,5;42,7;-0,7;6,5;144,7;-6999;0,0;999,0
2005;4;2;20;15;-1,6;10,5;42,7;-0,6;6,7;156,9;-6999;0,0;999,0
2005;4;2;20;30;-1,8;10,3;42,7;-0,6;6,4;148,9;-6999;0,0;999,0
2005;4;2;20;45;-1,9;10,1;42,9;-0,6;5,7;154,0;-6999;0,0;999,0
2005;4;2;21;00;-2,1;9,9;43,0;-0,7;3,8;163,1;-6999;0,0;999,0
2005;4;2;21;15;-2,2;9,9;42,8;-0,6;3,9;168,0;-6999;0,0;999,0
2005;4;2;21;30;-2,0;9,7;44,0;-0,6;4,4;168,3;-6999;0,0;999,0
2005;4;2;21;45;-1,9;9,5;44,8;-0,6;4,2;177,6;-6999;0,0;999,0
2005;4;2;22;00;-1,8;9,2;46,2;-0,5;3,5;178,5;-6999;0,0;999,0
2005;4;2;22;15;-1,8;8,8;47,3;-0,5;3,3;177,9;-6999;0,0;999,0
2005;4;2;22;30;-1,9;7,9;49,9;-0,5;0,6;219,7;-6999;0,0;999,0
2005;4;2;22;45;-1,8;7,4;52,1;0,0;0,0;242,0;-6999;0,0;999,0
2005;4;2;23;00;-1,8;7,3;52,6;0,0;0,1;234,2;-6999;0,0;999,0
2005;4;2;23;15;-1,8;7,2;52,8;0,1;0,0;262,6;-6999;0,0;999,0
2005;4;2;23;30;-1,8;7,0;53,5;-0,1;0,8;236,7;-6999;0,0;999,0
2005;4;2;23;45;-1,9;7,0;53,0;-0,2;3,5;224,7;-6999;0,0;999,0
2005;4;2;24;00;-2,0;6,7;53,7;-0,4;0,0;219,4;-6999;0,0;999,0
2005;4;3;00;15;-2,0;6,9;53,0;-0,3;0,4;210,8;-6999;0,0;999,0
2005;4;3;00;30;-2,1;6,9;52,7;-0,4;1,3;180,2;-6999;0,0;999,0
2005;4;3;00;45;-2,1;6,5;54,1;-0,6;0,0;170,3;-6999;0,0;999,0
2005;4;3;01;00;-1,9;6,4;55,2;-0,3;0,0;147,5;-6999;0,0;999,0
2005;4;3;01;15;-1,9;6,3;55,9;0,2;0,0;85,8;-6999;0,0;999,0
2005;4;3;01;30;-1,9;5,3;59,9;-0,2;0,3;94,5;-6999;0,0;999,0
2005;4;3;01;45;-1,3;5,2;62,7;0,1;0,4;96,5;-6999;0,0;998,0
2005;4;3;02;00;-1,5;4,7;64,0;-0,1;0,6;79,9;-6999;0,0;998,0
2005;4;3;02;15;-1,6;4,3;65,7;0,0;0,5;65,3;-6999;0,0;998,0
